,year,title,ratings,madeit,reviews,photos,submitter_description,ingredients,readyin,servings,nutrition,calories,fat,carbohydrate,protein,carbohydrates,instructions
24,,Yummy Lemon Coconut Loaf,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1049318.jpg,,"['1 cup white sugar', '½ cup butter, softened', '2 eggs', '1 lemon, juiced and zested', '1 ½ cups all-purpose flour', '1 teaspoon baking powder', '¼ teaspoon salt', '½ cup milk', '½ cup flaked coconut', ""¾ cup confectioners' sugar"", '2 teaspoons lemon juice, or more as needed']",0,1 8x4-inch loaf,"          301.4 calories;           3.8 g protein;           46.5 g carbohydrates;           62.6 mg cholesterol;           202.3 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 350 degrees F (175 degrees C). Grease a 4x8-inch loaf pan.

Beat white sugar and butter in a large bowl until light and fluffy. Add eggs, one at a time, beating well after each addition. Stir juice and zest of one lemon into butter mixture.

Mix flour, baking powder, and salt in a separate bowl; add to butter mixture alternately with milk, mixing until batter is just incorporated. Fold in coconut, mixing just enough to evenly combine. Pour the batter into prepared loaf pan.

Bake in the preheated oven until a toothpick inserted into the center comes out clean, 60 to 65 minutes. Cool in the pan for 10 minutes before removing to cool completely on a wire rack.

Gradually stir 2 teaspoons lemon juice into confectioners' sugar in a bowl until mixture is thin enough to drizzle. Transfer mixture to a resealable plastic bag. Cut a small hole in the corner of the bag. Gently squeeze bag and drizzle mixture evenly over the loaf.
"
25,,Banana Pudding IV,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3066452.jpg,,"['1 (8 ounce) package cream cheese, at room temperature', '1 (14 ounce) can sweetened condensed milk', '1 (5 ounce) package instant vanilla pudding mix', '3 cups cold skim milk', '1 teaspoon vanilla extract', '1 (8 ounce) container frozen whipped topping, thawed', '4 bananas, sliced', '½ (12 ounce) package vanilla wafers']",0,1 - 9x13 inch dish,"          387.9 calories;           7.1 g protein;           55.3 g carbohydrates;           32.9 mg cholesterol;           333.8 mg sodium.        Full Nutrition
",,,,,,"In a large bowl, beat cream cheese until fluffy.  Beat in condensed milk, pudding mix, cold milk and vanilla until smooth.  Fold in 1/2 of the whipped topping.

Line the bottom of a 9x13 inch dish with vanilla wafers. Arrange sliced bananas evenly over wafers. Spread with pudding mixture. Top with remaining whipped topping. Chill.
"
26,,Blueberry Crumble Bars,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1038753.jpg,,"['1 ½ cups all-purpose flour', '1 ½ cups quick cooking oats', '1 ½ cups white sugar, divided', '½ teaspoon ground cinnamon', '½ teaspoon baking soda', '¾ cup cold butter', '2 cups blueberries', '2 tablespoons cornstarch', '2 tablespoons lemon juice']",0,24 bars,"          156.7 calories;           1.6 g protein;           24.4 g carbohydrates;           15.3 mg cholesterol;           67.7 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 375 degrees F (190 degrees C). Grease a 9x13-inch baking dish.

Combine flour, oats, 1 cup sugar, cinnamon, and baking soda in a large bowl. Cut butter into flour mixture until it resembles coarse crumbs. Reserve about 2 cups flour-butter mixture. Press remaining mixture into the prepared baking dish to form a crust.

Bring blueberries, remaining 1/2 cup sugar, cornstarch, and lemon juice to a boil in a saucepan, stirring constantly, until mixture is thickened, about 2 minutes. Spread blueberry mixture over crust and sprinkle with reserved oat mixture.

Bake in the preheated oven until topping is just browned, about 25 minutes. Cool before cutting and serving.
"
27,,Coconut Sour Cream Pound Cake,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4650094.jpg,,"['1 cup vegetable shortening (such as Crisco®)', '3 cups white sugar', '6 eggs', '1 cup sour cream', '3 cups sifted cake flour', '¼ teaspoon baking soda', '1 tablespoon coconut extract']",0,1 9-inch tube cake,"          442.7 calories;           5.3 g protein;           63.2 g carbohydrates;           81.1 mg cholesterol;           57.7 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 300 degrees F (150 degrees C). Grease and flour a 9-inch tube pan.

Beat vegetable shortening and sugar together in a bowl using an electric mixer until mixture is creamy. Beat eggs into shortening mixture, one at a time, letting each egg blend in before adding the next. Beat in sour cream until smooth.

Gradually stir cake flour and baking soda into the moist ingredients until batter is smooth; stir in coconut extract. Scoop batter into prepared tube pan.

Bake in the preheated oven until a toothpick inserted into the middle of the cake comes out clean or with moist crumbs, 1 hour and 20 minutes.
"
28,,Baked Sweet Potato Coins,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4626236.jpg,,"['1 serving cooking spray', '2 eaches sweet potatoes', '1 teaspoon seasoned salt, or more to taste']",0,4 servings,"          123.9 calories;           2.3 g protein;           28.8 g carbohydrates;           0 mg cholesterol;           307.5 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 350 degrees F (175 degrees C). Grease 2 baking sheets with cooking spray.

Make a lengthwise cut partway through the middle of each sweet potato.

Cut potatoes into coins using the slicer attachment on a spiralizer. Arrange coins on the baking sheets. Spray with cooking spray. Season both sides with seasoned salt.

Bake in the preheated oven until edges start to curl, 20 to 25 minutes. Season with more salt. Let cool until crisp, about 10 minutes.
"
29,,Crock Pot® Party Meatballs,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4553045.jpg,,"['1 (2 pound) bag frozen cooked meatballs', '1 (14.5 ounce) can whole berry cranberry sauce', '1 (12 ounce) bottle tomato-based chili sauce', '½ lemon, juiced', '2 drops hot sauce (such as Tabasco®), or more to taste']",0,8 servings,"          320.4 calories;           19.1 g protein;           27.3 g carbohydrates;           94.3 mg cholesterol;           210.4 mg sodium.        Full Nutrition
",,,,,,"Place frozen meatballs into a slow cooker. Add cranberry sauce, chili sauce, lemon juice, and hot sauce. Stir to distribute sauce evenly over meatballs.

Cook on High until meatballs are completely thawed and hot, about 3 hours.
"
30,,Easiest Pot Roast Ever,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4533706.jpg,,"['3 pounds beef roast', '6 medium (2-1/4"" to 3"" dia, raw)s potatoes', '1 ½ cups baby carrots', '1 yellow onion', '2 stalks celery', '3 cubes beef bouillon', '½ cup water']",0,6 servings,"          526.4 calories;           31.7 g protein;           42.4 g carbohydrates;           103.2 mg cholesterol;           547.4 mg sodium.        Full Nutrition
",,,,,,"Cut up potatoes, onions, and celery in to fairly large chunks and place in a slow cooker. Put roast on top of vegetables. Place 3 bouillon cubes randomly on top of roast and pour in water.

Cover, and cook on low for 6 to 8 hours or High for 4 to 5 hours.
"
31,,Simple Summer Java Float,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4528654.jpg,,"['2 scoops vanilla ice cream, slightly softened', '½ cup Gevalia® Cold Brew Concentrate, any flavor', '1 maraschino cherry (optional)']",2,1 serving,"          102 calories;           4.6 g total fat;           18 mg cholesterol;           57 mg sodium.          13.8 g carbohydrates;           1.5 g protein;         Full Nutrition
",,,,,,"Place ice cream in a cup. Pour cold brew concentrate over ice cream.
Garnish with a cherry. Use a straw for stirring and drinking."
32,,My Mom's Spritz Cookies,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5921844.jpg,,"['1 cup unsalted butter, softened', '½ cup white sugar', '2 egg yolks', '½ teaspoon vanilla extract', '2 ¼ cups all-purpose flour', '½ teaspoon baking powder']",0,42 cookies,"          75 calories;           0.9 g protein;           7.5 g carbohydrates;           21.4 mg cholesterol;           6.9 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 400 degrees F (200 degrees C). Line 2 baking sheets with parchment paper.

Combine butter and sugar in a bowl. Beat with an electric mixer until creamy. Add egg yolks and vanilla extract. Mix until well combined. Beat in flour and baking powder. Use your hands to finish mixing if dough does not come together.

Add dough to a cookie press and press spritz-shaped cookies onto the prepared baking sheets.

Bake in the preheated oven until cookies are lightly browned, 9 to 11 minutes. Cool on the baking sheets for 2 minutes. Carefully transfer to a wire rack and cook completely.
"
33,,Iced Caramel Macchiato,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4529314.jpg,,"['1 tablespoon vanilla-flavored syrup', '⅓ cup ice cubes', '¾ cup milk', '4 ounces Gevalia® Cold Brew Concentrate - House Blend', '1 tablespoon caramel sauce']",5,1 serving,"          207 calories;           3.6 g total fat;           15 mg cholesterol;           178 mg sodium.          37.5 g carbohydrates;           6.3 g protein;         Full Nutrition
",,,,,,"Pour vanilla syrup into the bottom of a glass. Add ice cubes and pour in milk.
Slowly pour in cold brew concentrate. Drizzle with caramel sauce."
34,,Stuffed Chicken Breasts with Lemon-Dill Sauce,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6903347.jpg,,"['5 slices bacon', '1 shallot, chopped', '1 serving nonstick cooking spray', '5 eaches boneless, skinless chicken breasts', '¾ cup ricotta cheese', '¾ teaspoon garlic powder', '2 tablespoons butter', '1 tablespoon all-purpose flour', '1 cup chicken broth', '¼ cup heavy cream', '3 tablespoons lemon juice', '2 tablespoons dry white wine', '1 tablespoon chopped fresh dill']",0,5 stuffed chicken breasts,"          330.2 calories;           32 g protein;           6.6 g carbohydrates;           115 mg cholesterol;           583.7 mg sodium.        Full Nutrition
",,,,,,"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Transfer bacon to a paper-towel lined plate to drain, leaving bacon grease in the skillet. Chop bacon when cool enough to handle. Add shallot to bacon grease in the skillet and cook over medium-low heat until caramelized, 5 to 10 minutes.

Preheat the oven to 375 degrees F (190 degrees C). Coat a glass casserole dish with cooking spray.

Place the tip of a sharp knife 1 inch from the top of a chicken breast. Cut a shallow slice lengthwise down the center, stopping 1 inch from the bottom. Cut shallow slices horizontally across the top and bottom of the slice. Repeat with remaining chicken breasts.

Combine chopped bacon, caramelized shallot, ricotta cheese, and garlic powder in a small bowl. Stuff each chicken breast with 2 to 3 tablespoons of the ricotta mixture and place in the prepared casserole dish.

Cook in the preheated oven for 25 minutes.

Meanwhile, melt butter in a saucepan over medium-high heat. Add flour and whisk to create a roux. Slowly pour in chicken broth, stirring constantly until smooth. Add in cream, lemon juice, white wine, and dill. Cook, stirring continuously, until slightly thickened, about 5 minutes.

Remove chicken from the oven. Pour sauce over chicken breasts, return to the oven, and cook until chicken is no longer pink in the center and the juices run clear, about 10 more minutes.

Set an oven rack about 6 inches from the heat source and turn on the oven's broiler. Broil chicken until slightly golden, about 3 minutes.
"
35,,Keto Chicken Cordon Bleu Meatballs,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6598266.jpg,,"['1 pound ground chicken', '⅓ cup blanched almond flour', '½ teaspoon salt', '½ teaspoon garlic powder', '½ teaspoon onion powder', '1 egg, lightly beaten', '6 ounces ham steak, cubed into 20 even pieces', '1 tablespoon olive oil', '1 tablespoon butter', '¾ cup chicken broth', '1 teaspoon Dijon mustard', '½ cup heavy cream', '1 cup shredded Swiss cheese', '1 pinch cracked black pepper to taste', '2 tablespoons minced fresh parsley']",0,20 meatballs,"          349.1 calories;           31.1 g protein;           3.9 g carbohydrates;           137.2 mg cholesterol;           837.2 mg sodium.        Full Nutrition
",,,,,,"Combine chicken, almond flour, salt, garlic powder, onion powder, and egg in a bowl. Form a small portion of chicken mixture into a 1 1/2-inch ball around a cube of ham and place onto a plate. Repeat with remaining chicken mixture and ham, making 20 meatballs total.

Heat olive oil in a large skillet over medium-high heat. Brown meatballs for 3 minutes, turn, and cook an additional 3 to 4 minutes. Transfer meatballs onto a clean plate.

Return skillet to medium heat and melt butter. Whisk in chicken broth and Dijon mustard and bring to a simmer for 3 to 4 minutes. Stir in heavy cream and whisk until sauce begins to simmer. Whisk in Swiss cheese until completely melted. Return meatballs to skillet and simmer until sauce has slightly thickened, 3 to 4 minutes. Season with cracked black pepper and parsley. Serve immediately. Sauce will further thicken upon cooling.
"
36,,Sweet Bell Pepper Rice,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1034010.jpg,,"['2 cups water', '1 cup long grain rice', '1 tablespoon olive oil', '1 small sweet onion, finely chopped', '3 cloves garlic, minced', '1 small green bell pepper, chopped', '1 small red bell pepper, chopped', '1 teaspoon dried basil', '1 teaspoon dried oregano', '½ teaspoon ground black pepper', '1 tiny pinch salt', '1 splash dry white wine', '1 tablespoon grated Parmesan cheese']",0,4 servings,"          238 calories;           4.6 g protein;           42.4 g carbohydrates;           1.1 mg cholesterol;           76.9 mg sodium.        Full Nutrition
",,,,,,"Bring water and rice to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until the rice is tender and liquid has been absorbed, 20 to 25 minutes.

Heat oil in a large skillet over medium-high heat. Cook and stir onion in the hot oil until tender, about 3 minutes. Add garlic and continue to cook and stir until onion is translucent, 2 to 3 minutes more. Stir green bell pepper and red bell pepper into onion mixture; cook until tender, about 5 minutes. Season with basil, oregano, black pepper, and salt.

Pour wine into vegetable mixture and reduce heat to medium low. Simmer until liquid is reduced, about 5 minutes. Stir rice into vegetables. Top with Parmesan cheese before serving.
"
